temp,feelslike,feelslike,feelslike,feelslike,windspeed
0.3,-2.8,-1.8,-0.8,0.2,26.8
5.4,3.3,4.3,5.3,6.3,19.3
6.1,3.4,4.4,5.4,6.4,24.1
3.4,1.6,2.6,3.6,4.6,18.6
8.8,7.5,8.5,9.5,10.5,18.5
9.5,9,10,11,12,20.2
14.8,14.7,15.7,16.7,17.7,28.5
12.6,12.4,13.4,14.4,15.4,11.9
9.3,8.1,9.1,10.1,11.1,16.5
12.1,11,12,13,14,26.1
7.6,4.8,5.8,6.8,7.8,31.5
-0.4,-2.6,-1.6,-0.6,0.4,14.7
2,-0.2,0.8,1.8,2.8,21.4
8.1,7.1,8.1,9.1,10.1,32.3
15,15,16,17,18,28.1
11.2,9.1,10.1,11.1,12.1,51.4
3.6,2.1,3.1,4.1,5.1,18.2
5.7,4.6,5.6,6.6,7.6,21.2
8.5,8,9,10,11,13.8
15.6,15.6,16.6,17.6,18.6,26.8
14.6,14.6,15.6,16.6,17.6,32.5
6.9,5.3,6.3,7.3,8.3,15.6
10.1,8.6,9.6,10.6,11.6,29.3
2.1,-0.8,0.2,1.2,2.2,15.7
1.6,1.5,2.5,3.5,4.5,6.6
3.6,2.3,3.3,4.3,5.3,17.4
2.1,-0.3,0.7,1.7,2.7,15.5
5.6,4.3,5.3,6.3,7.3,24.9
14.3,14.3,15.3,16.3,17.3,29.7
19,19,20,21,22,30.7
12.1,12.1,13.1,14.1,15.1,13.5
17.8,17.8,18.8,19.8,20.8,27.7
11.6,10.4,11.4,12.4,13.4,29.4
11.5,11.3,12.3,13.3,14.3,15.5
10.2,10.2,11.2,12.2,13.2,11
14.4,14.3,15.3,16.3,17.3,23.3
